proj_name,false_north,false_east,centre_merid,centre_lat,radius,eccentricity,flattening,prime_merid
CAISRAEL,1126867.91 ,170251.55 ,0.6145667429476204,0.5538644760519257,6378300.79 ,0.0824832078984994,293.4663696 ,1  
CAISRMOD,1126867.91 ,1170251.55 ,0.6145667429476204,0.5538644760519257,6378300.79 ,0.0824832078984994,293.4663696 ,1  
CAPAL ,126867.91 ,170251.25 ,0.6145667429476204,0.5538644760519257,6378300.79 ,0.0824832078984994,293.4663696 ,1  
CAQATAR ,100000.0 ,100000.0 ,0.8859533691903027,0.4430057731251297,6378200.0 ,0.0818133340169312,298.3 ,1  
CAQATMOD,1100000.0 ,100000.0 ,0.8859533691903027,0.4430057731251297,6378200.0 ,0.0818133340169312,298.3 ,1  
CASNGPOR,30000.0 ,30000.0 ,1.8125768264709147,0.0224736727721104,6377304.063 ,0.0814729809826526,300.8017 ,1  
CATOBAGO,180000.0 ,187500.0 ,-1.059170663454253 ,0.196387564592446 ,31706587.88 ,0.0823719976935089,294.2606764 ,1  
CATRINID,325000.0 ,430000.0 ,-1.070468607308079 ,0.1822414615655217,31706587.88 ,0.0823719976935089,294.2606764 ,1  
CAVANUA ,16628.88 ,12513.32 ,3.129957124661388 ,-0.283616003449078 ,31706366.667 ,0.0824832165826249,293.4663077 ,1  
CAVITI ,7040.0 ,5440.0 ,3.1066860685499067,-0.314159265358979 ,31706366.667 ,0.0824832165826249,293.4663077 ,1  
